brsr_id,brsr_text,gri_standard,gri_disclosure,gri_subpoint,esrs_datapoint_id,esrs_name,esrs_dr,esrs_paragraph,esrs_data_type,brsr_gri_match_type,brsr_gri_mapping_semantics,interop_mapping_type,interop_esrs_requirement,interop_notes,interop_explanation,expansion_count,precision_class,precision_reason,precision_score,precision_evidence
P6-E6,,,305-2,305-2-C,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-E6,,,305-4,305-4,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-E6,,,305-4,305-4-A,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-E6,,,305-4,305-4-B,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-E6,,,305-4,305-4-C,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-E7,,,305-5,305-5,,,,,,,,,,,,7,low_precision,no_esrs_datapoint,0,
P6-E7,,,305-5,305-5-A,,,,,,,,,,,,7,low_precision,no_esrs_datapoint,0,
P6-E7,,,305-5,305-5-B,,,,,,,,,,,,7,low_precision,no_esrs_datapoint,0,
P6-E7,,,305-5,305-5-C,,,,,,,,,,,,7,low_precision,no_esrs_datapoint,0,
P6-E7,,,305-5,305-5-D,,,,,,,,,,,,7,low_precision,no_esrs_datapoint,0,
P6-E8,,,306-3,306-3,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P6-E8,,,306-3,306-3-A,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P6-E8,,,306-4,306-4-A,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E8,,,306-4,306-4-B-I-III,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E8,,,306-4,306-4-C-I-III,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E8,,,306-5,306-5,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E8,,,306-5,306-5-A,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E8,,,306-5,306-5-B-I-III,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E8,,,306-5,306-5-C-I-IV,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E9,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P6-E9,,,3-3,3-3-C,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P6-E9,,,3-3,3-3-D-I-II,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P6-E9,,,306-2,306-2,,,,,,,,,,,,9,low_precision,no_esrs_datapoint,0,
P6-E9,,,306-2,306-2-A,,,,,,,,,,,,9,low_precision,no_esrs_datapoint,0,
P6-L1,,,302-1,302-1,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
P6-L1,,,302-1,302-1-A,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
P6-L1,,,302-1,302-1-B,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
